Scheme_ID,Feedback_Rating,Approval_Rate,Implementation_Score,Success_Rate,Application_Mode,Required_Documents,Scheme_Objective
SCM6408,4,94.67,7.03,42.83,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM6409,4,66.44,6.43,,Both,None,Health insurance coverage
SCM6410,3,91.39,2.01,74.62,Both,None,Startup support
SCM6411,4,50.46,2.23,74.62,Online,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM6412,2,59.1,10,76.77,Both,None,Financial inclusion
SCM6413,4,64.52,4.02,80.01,Offline,None,Technology adoption
SCM6414,4,85.46,4.67,65.4,Offline,None,Sanitation awareness
SCM6415,3,78.96,8.7,70.24,Offline,"Ration Card, Aadhaar",Women empowerment
SCM6416,2,63.22,6.68,30.59,Offline,None,Skill development
SCM6417,1,79.07,7.11,41.66,Online,"Caste Certificate, Income Certificate",Women empowerment
,2,94.49,6.73,64.9,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM6419,4,73.47,3.91,82.19,Online,None,Women empowerment
SCM6420,2,84.8,8.46,86.62,Offline,None,Skill development
SCM6421,1,67.28,1.3,81.03,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM6422,2,85.63,4.31,64.05,Online,None,Technology adoption
SCM6423,2,93.35,9.59,49.69,Both,"Ration Card, Aadhaar",Technology adoption
SCM6424,4,78.33,4.41,61.13,Both,"Caste Certificate, Income Certificate",Skill development
SCM6425,3,69.31,1.15,30.65,Both,"Ration Card, Aadhaar",Startup support
SCM6426,4,87.71,2.73,71.86,Both,"Ration Card, Aadhaar",Women empowerment
SCM6427,4,97.81,9.5,35.22,Offline,"Ration Card, Aadhaar",Sanitation awareness
SCM6428,2,53.41,8.64,40.18,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM6429,1,75.82,2.76,,Both,"Aadhaar, Income Certificate",Health insurance coverage
SCM6430,3,59.1,9.8,30.93,Online,None,Technology adoption
SCM6431,4,63.7,2.43,70.15,Online,None,Sanitation awareness
SCM6432,2,81.81,9.93,74.69,Offline,None,Sanitation awareness
SCM6433,4,97.99,8.6,85.18,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM6434,1,92.65,9.21,34.76,Both,"Caste Certificate, Income Certificate",Technology adoption
SCM6435,4,62.88,2.26,30.21,Online,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6436,3,51.21,3.72,83.68,Offline,"Ration Card, Aadhaar",Skill development
SCM6437,3,79.97,7.32,50.3,Both,"Aadhaar, Income Certificate",Housing for all
SCM6438,2,76.69,5.55,92.1,Online,"Caste Certificate, Income Certificate",Health insurance coverage
SCM6439,4,73.01,3.62,42.95,Offline,"Aadhaar, Income Certificate",Women empowerment
SCM6440,3,73.76,7.26,70.99,Offline,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM6441,4,79.59,8.02,37.66,Online,"Ration Card, Aadhaar",Health insurance coverage
SCM6442,3,69.85,3.57,58.19,Both,"Aadhaar, Income Certificate",Startup support
SCM6443,1,58.56,1.77,91.74,Online,"Ration Card, Aadhaar",Education access
SCM6444,1,62.96,6.17,72.58,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM6445,3,53.19,4.57,78.27,Online,"Caste Certificate, Income Certificate",Education access
SCM6446,3,52.8,8.9,45.82,Online,None,Skill development
SCM6447,4,93.37,1.41,94.59,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM6448,4,56.27,6.74,73.64,Online,None,Housing for all
SCM6449,3,53.45,1.43,37.41,Both,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM6450,3,91.32,2.02,31.09,Offline,"Aadhaar, Income Certificate",Employment generation
SCM6451,4,97.68,4.32,31.11,Offline,"Ration Card, Aadhaar",Women empowerment
SCM6452,3,60.29,3.06,33.58,Online,"Ration Card, Aadhaar",Women empowerment
SCM6453,1,87.86,2.46,93.81,Both,"Aadhaar, Income Certificate",Housing for all
SCM6454,4,58.13,8.14,55.09,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM6455,1,84.04,3.09,50.88,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM6456,4,83.99,4.28,,Both,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM6457,3,71.47,9.17,58.67,Offline,"Ration Card, Aadhaar",Sanitation awareness
SCM6458,2,94.1,8.07,,Online,"Aadhaar, Income Certificate",Skill development
SCM6459,4,56.05,5.72,36.43,Offline,"Aadhaar, Income Certificate",Financial inclusion
SCM6460,4,73.83,1.85,37.6,Online,"Caste Certificate, Income Certificate",Startup support
SCM6461,2,80.09,9.51,71.94,Offline,"Caste Certificate, Income Certificate",Technology adoption
SCM6462,2,87.95,7.38,57.78,Both,"Aadhaar, Income Certificate",Sanitation awareness
SCM6463,1,57.13,1.32,93.17,Online,"Aadhaar, Income Certificate",Housing for all
SCM6464,3,76.75,9.54,62.46,Offline,"Ration Card, Aadhaar",Startup support
SCM6465,2,72.75,1.65,65.24,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM6466,4,70.82,6.43,94.98,Online,"Aadhaar, Income Certificate",Health insurance coverage
,2,67.97,4.55,65.11,Online,"Caste Certificate, Income Certificate",Startup support
SCM6468,2,99.85,9.83,65.14,Online,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6469,3,58.51,9.31,55.42,Online,"Caste Certificate, Income Certificate",Education access
SCM6470,3,87.65,6.39,79.73,Both,"Caste Certificate, Income Certificate",Education access
SCM6471,1,68.85,7.31,57.46,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM6472,3,82.45,8.39,71.18,Both,None,Education access
SCM6473,1,99.41,8.38,61.32,Offline,"Ration Card, Aadhaar",Startup support
SCM6474,2,73.89,6.39,67.01,Offline,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6475,1,91.22,3.26,87.89,Both,None,Women empowerment
SCM6476,1,53.8,3.81,58.96,Both,None,Employment generation
SCM6477,3,77.73,6.99,46.11,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM6478,2,69.11,7.19,,Online,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6479,1,84.96,4.34,,Offline,"Aadhaar, Income Certificate",Skill development
SCM6480,2,51.84,8.99,78.52,Online,"Aadhaar, Income Certificate",Technology adoption
SCM6481,4,72.39,4.6,51.59,Online,"Aadhaar, Income Certificate",Technology adoption
SCM6482,4,74.73,7.29,97.41,Both,"Ration Card, Aadhaar",Financial inclusion
SCM6483,4,92.23,2.88,53.99,Offline,None,Startup support
SCM6484,2,69.23,4.18,98.83,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM6485,4,66.03,5.91,,Both,"Aadhaar, Income Certificate",Housing for all
SCM6486,3,69.45,1.34,99.98,Online,"Caste Certificate, Income Certificate",Employment generation
SCM6487,2,71.89,1.38,35.31,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM6488,4,62.73,3.43,79.93,Online,"Aadhaar, Income Certificate",Housing for all
SCM6489,4,52.26,8.45,81.83,Both,"Caste Certificate, Income Certificate",Financial inclusion
SCM6490,1,99.52,2.95,77.57,Online,"Caste Certificate, Income Certificate",Employment generation
SCM6491,2,88.27,8.97,84.43,Online,"Ration Card, Aadhaar",Technology adoption
SCM6492,4,99.27,7.44,63.03,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM6493,2,83.14,7.2,33.79,Both,"Aadhaar, Income Certificate",Employment generation
SCM6494,2,94.15,7.07,55.04,Offline,"Ration Card, Aadhaar",Technology adoption
SCM6495,3,72.52,9.79,74.96,Both,"Caste Certificate, Income Certificate",Technology adoption
SCM6496,4,67.46,6.7,75.24,Offline,"Caste Certificate, Income Certificate",Skill development
SCM6497,3,99.69,6.84,43.66,Offline,"Caste Certificate, Income Certificate",Education access
SCM6498,4,58.48,5.08,47.71,Online,"Ration Card, Aadhaar",Women empowerment
SCM6499,2,60.84,8.85,64.07,Offline,"Caste Certificate, Income Certificate",Skill development
SCM6500,2,83.41,1.52,81,Offline,"Aadhaar, Income Certificate",Employment generation
SCM6501,2,62.77,4.1,89.7,Online,"Aadhaar, Income Certificate",Women empowerment
SCM6502,2,71.54,3.58,36.05,Offline,None,Skill development
SCM6503,4,96.61,4.58,94.79,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6504,1,63.29,5.32,94.94,Both,None,Employment generation
SCM6505,2,75.53,9.6,30.56,Both,"Ration Card, Aadhaar",Women empowerment
SCM6506,4,86.83,9.32,65.45,Offline,None,Women empowerment
SCM6507,2,53.59,6.5,71.1,Online,"Ration Card, Aadhaar",Women empowerment
SCM6508,1,53.61,1.18,68.76,Both,None,Financial inclusion
SCM6509,4,87.3,6,73.1,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM6510,2,96,1.62,65.23,Online,"Ration Card, Aadhaar",Financial inclusion
SCM6511,3,79.59,4.24,50.57,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM6512,1,51.91,3.74,36.7,Both,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6513,3,72.59,6.83,44.59,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM6514,3,86.02,1.16,81.82,Both,None,Financial inclusion
SCM6515,2,81.59,8.1,46.87,Both,None,Sanitation awareness
SCM6516,3,59.91,8.44,88.08,Offline,"Aadhaar, Income Certificate",Health insurance coverage
SCM6517,4,52.66,1.29,58.24,Both,"Caste Certificate, Income Certificate",Housing for all
SCM6518,1,94.47,1.74,59.01,Both,"Caste Certificate, Income Certificate",Financial inclusion
SCM6519,4,61.29,9.29,90.79,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6520,3,99.79,6.54,45,Both,None,Financial inclusion
SCM6521,4,55.77,9.64,43.27,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6522,1,55.72,5.12,98.98,Offline,"Aadhaar, Income Certificate",Sanitation awareness
SCM6523,3,83.41,2.72,67.84,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM6524,1,63.51,4.33,43.34,Online,None,Employment generation
SCM6525,2,98.72,9.36,41.61,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM6526,2,61.85,2.04,90.32,Online,"Aadhaar, Income Certificate",Skill development
SCM6527,4,81.18,9.03,71.99,Both,"Ration Card, Aadhaar",Education access
SCM6528,4,70.32,5.77,38.05,Offline,"Aadhaar, Income Certificate",Education access
SCM6529,3,54.51,1.63,92.08,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM6530,3,85.4,4.6,61.07,Online,"Ration Card, Aadhaar",Skill development
SCM6531,2,89.52,3.19,99.26,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM6532,2,91.33,6.18,-10,Both,"Ration Card, Aadhaar",Sanitation awareness
SCM6533,1,74.5,2.37,67.02,Online,"Aadhaar, Income Certificate",Women empowerment
SCM6534,2,98.8,9.47,42.12,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM6535,2,89.99,2.9,60.78,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM6536,1,72.01,6.7,,Online,None,Employment generation
SCM6537,2,54.97,8.48,51.51,Both,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6538,4,62.72,6.36,48.89,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6539,1,88.61,6.9,49.82,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM6540,2,93.98,4.68,,Offline,"Ration Card, Aadhaar",Skill development
SCM6541,1,83.12,1.92,32.69,Offline,"Caste Certificate, Income Certificate",Education access
SCM6542,2,69.4,2.18,64.78,Both,None,Sanitation awareness
SCM6543,2,67.8,7.32,74.05,Both,"Ration Card, Aadhaar",Financial inclusion
SCM6544,3,67.94,8.18,76.25,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM6545,1,74.57,8.58,82.82,Online,"Aadhaar, Income Certificate",Housing for all
SCM6546,4,86.29,4.26,83.27,Online,"Aadhaar, Income Certificate",Housing for all
SCM6547,2,58.16,9.72,96.89,Offline,None,Skill development
SCM6548,4,51.05,6.77,82.9,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM6549,3,53.82,2.38,,Both,"Caste Certificate, Income Certificate",Financial inclusion
,4,83.29,1.61,67.26,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM6551,3,92.44,5.9,76.04,Online,"Ration Card, Aadhaar",Startup support
SCM6552,1,70.33,7.67,63.47,Offline,"Caste Certificate, Income Certificate",Employment generation
SCM6553,3,66.88,1.16,49.35,Both,None,Sanitation awareness
SCM6554,2,51,1.2,51.94,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6555,3,53.04,6.2,55.24,Online,"Aadhaar, PAN, Bank Passbook",Education access
SCM6556,1,87.74,9.91,53.85,Both,"Aadhaar, PAN, Bank Passbook",Education access
,1,54.48,7.64,67.32,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6558,2,91.42,2.36,47.33,Online,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6559,2,89.05,1.78,-10,Online,"Aadhaar, PAN, Bank Passbook",Education access
SCM6560,4,90.97,8.33,94.14,Both,"Aadhaar, PAN, Bank Passbook",Education access
SCM6561,2,84.3,8.29,58.42,Both,"Caste Certificate, Income Certificate",Housing for all
SCM6562,3,51.05,5.11,45.59,Offline,None,Skill development
SCM6563,2,72.17,1.32,54.28,Online,"Caste Certificate, Income Certificate",Startup support
SCM6564,4,57.86,7.9,91.38,Offline,"Ration Card, Aadhaar",Education access
SCM6565,2,66.91,4.71,95.92,Both,None,Technology adoption
SCM6566,4,77.87,8.35,92.07,Both,"Aadhaar, Income Certificate",Health insurance coverage
SCM6567,2,86.6,2.3,50.11,Offline,"Aadhaar, PAN, Bank Passbook",Education access
SCM6568,1,61.61,5.17,57.15,Both,None,Skill development
SCM6569,2,66.74,5.74,98.25,Both,"Caste Certificate, Income Certificate",Housing for all
SCM6570,3,60.5,4.33,52.67,Offline,None,Women empowerment
SCM6571,1,99.21,9.91,39.65,Offline,None,Women empowerment
SCM6572,2,96.46,7.87,49.75,Offline,"Ration Card, Aadhaar",Housing for all
SCM6573,2,82.69,8.47,97.48,Online,"Ration Card, Aadhaar",Health insurance coverage
SCM6574,1,91.24,3.17,59.11,Offline,None,Housing for all
SCM6575,1,85.94,4.46,-10,Offline,"Aadhaar, Income Certificate",Startup support
SCM6576,1,92.43,2,37.29,Both,None,Sanitation awareness
SCM6577,3,96.8,9.98,83.62,Online,"Caste Certificate, Income Certificate",Skill development
SCM6578,2,96.52,3.32,36.53,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM6579,4,78.73,1.91,43.82,Offline,"Caste Certificate, Income Certificate",Housing for all
SCM6580,2,98.23,2.85,73.13,Offline,None,Startup support
SCM6581,2,70.38,6.14,60.41,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM6582,1,59.67,4.02,76.67,Both,"Caste Certificate, Income Certificate",Health insurance coverage
SCM6583,4,61.57,2.48,98.14,Online,"Aadhaar, Income Certificate",Financial inclusion
SCM6584,2,72.93,5.21,33.69,Online,"Ration Card, Aadhaar",Housing for all
SCM6585,2,62.66,7.03,43.41,Online,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6586,1,56.36,6.98,,Online,"Ration Card, Aadhaar",Skill development
SCM6587,2,69.84,1.13,,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM6588,3,79.06,7.8,85.84,Both,None,Technology adoption
SCM6589,2,98.4,3.17,62.59,Online,"Ration Card, Aadhaar",Women empowerment
,3,81.03,9.3,82.18,Offline,"Aadhaar, Income Certificate",Startup support
SCM6591,1,88.7,2.25,44.57,Online,"Ration Card, Aadhaar",Sanitation awareness
SCM6592,2,84.11,4.6,30.96,Online,None,Financial inclusion
SCM6593,3,69.23,3.81,69.9,Offline,None,Employment generation
SCM6594,2,59.45,5.42,86.93,Both,"Caste Certificate, Income Certificate",Housing for all
SCM6595,1,64.11,3.82,60.34,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM6596,1,93.83,7.94,69.85,Offline,"Caste Certificate, Income Certificate",Skill development
SCM6597,2,57.78,4.44,59.55,Both,None,Education access
SCM6598,1,54.88,4.15,65.98,Offline,"Ration Card, Aadhaar",Health insurance coverage
SCM6599,3,92.66,9.74,91.9,Both,"Aadhaar, Income Certificate",Women empowerment
SCM6600,1,77.41,4.63,63.47,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM6601,1,84.13,2.17,30.52,Online,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6602,3,91.29,3.41,85.99,Offline,None,Employment generation
SCM6603,2,67,7.51,73.24,Offline,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6604,1,87.51,3.36,81.13,Offline,"Ration Card, Aadhaar",Women empowerment
SCM6605,2,81.55,7.12,93.08,Both,None,Startup support
SCM6606,3,51.24,9.23,50.03,Both,None,Startup support
,2,86.02,4.37,65.21,Both,"Caste Certificate, Income Certificate",Sanitation awareness
SCM6608,1,67.21,2.73,72.17,Both,None,Employment generation
SCM6609,1,60.4,7.45,54.18,Offline,None,Employment generation
SCM6610,1,98.05,4.94,89.22,Offline,"Caste Certificate, Income Certificate",Employment generation
SCM6611,3,88.48,1.42,78.83,Online,"Ration Card, Aadhaar",Employment generation
SCM6612,1,51.22,6.21,81.34,Offline,"Ration Card, Aadhaar",Startup support
SCM6613,2,87.99,6.22,86.56,Both,"Aadhaar, Income Certificate",Employment generation
SCM6614,4,92.52,7.14,,Offline,None,Women empowerment
,4,67.82,7.62,82.19,Offline,"Ration Card, Aadhaar",Sanitation awareness
SCM6616,1,66.32,6.81,84.17,Online,None,Housing for all
SCM6617,3,71.18,4.04,88.97,Online,"Aadhaar, Income Certificate",Housing for all
SCM6618,2,73.31,8.52,64.2,Both,None,Financial inclusion
SCM6619,2,69.03,9.42,65.29,Online,None,Sanitation awareness
SCM6620,3,75.31,3.72,,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM6621,2,98.63,3.54,89.65,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM6622,1,51.6,5.62,67.34,Offline,None,Housing for all
SCM6623,2,99.13,9.87,71.61,Offline,"Ration Card, Aadhaar",Skill development
,4,92.47,2.47,38.5,Offline,None,Financial inclusion
SCM6625,3,89.87,5.45,72.13,Both,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6626,2,72.51,2.75,32.94,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM6627,2,53.75,4.69,94.62,Online,None,Women empowerment
SCM6628,3,80.94,4.41,90.45,Online,"Aadhaar, Income Certificate",Financial inclusion
SCM6629,2,94.71,6.14,43.6,Online,None,Skill development
SCM6630,3,71.25,1.31,71.57,Both,"Caste Certificate, Income Certificate",Health insurance coverage
SCM6631,1,53.47,8.27,,Offline,"Caste Certificate, Income Certificate",Housing for all
SCM6632,3,50.27,7.38,86.24,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM6633,2,55.97,10,82.98,Online,"Caste Certificate, Income Certificate",Startup support
SCM6634,2,80.3,3.3,99.53,Online,"Ration Card, Aadhaar",Sanitation awareness
SCM6635,1,99.55,8.81,54.56,Online,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM6636,2,85.61,6.49,38.72,Online,"Caste Certificate, Income Certificate",Health insurance coverage
SCM6637,4,57.86,3.08,70.14,Offline,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6638,4,93.13,3.66,83.48,Both,"Aadhaar, Income Certificate",Education access
SCM6639,2,83.01,1.18,50.01,Both,"Caste Certificate, Income Certificate",Sanitation awareness
SCM6640,2,65.08,4.09,46.53,Both,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM6641,2,75.08,9.09,86.17,Both,"Aadhaar, Income Certificate",Technology adoption
SCM6642,3,70.15,1.68,82.76,Online,None,Health insurance coverage
,2,93.56,9.35,44.24,Both,"Caste Certificate, Income Certificate",Education access
SCM6644,3,97.67,4.42,90.85,Both,None,Education access
SCM6645,2,56.18,7.67,39.43,Online,"Ration Card, Aadhaar",Startup support
SCM6646,2,57.37,6.93,37.65,Offline,"Caste Certificate, Income Certificate",Technology adoption
SCM6647,2,54.12,7.05,54.58,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM6648,1,69,5.94,92.06,Online,"Aadhaar, Income Certificate",Housing for all
SCM6649,3,98.55,5.18,78.68,Offline,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM6650,1,99.37,9.35,57.63,Online,"Caste Certificate, Income Certificate",Education access
SCM6651,2,79.8,7.12,41.01,Offline,"Ration Card, Aadhaar",Women empowerment
SCM6652,1,73.18,6.53,79.94,Both,"Aadhaar, Income Certificate",Housing for all
SCM6653,1,65.12,4.76,71.94,Online,"Caste Certificate, Income Certificate",Education access
SCM6654,4,50.02,3.03,99.14,Online,"Ration Card, Aadhaar",Women empowerment
SCM6655,1,63.14,1.02,83.59,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM6656,3,57.32,9.83,37.15,Offline,"Aadhaar, Income Certificate",Financial inclusion
,2,50.1,7.81,80.98,Online,None,Technology adoption
SCM6658,2,94.8,9.95,48.02,Offline,None,Education access
SCM6659,4,54.22,7.93,,Offline,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6660,4,85.43,1.41,31.35,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM6661,3,96.23,5,,Offline,"Aadhaar, Income Certificate",Skill development
SCM6662,3,56.35,2.05,64.93,Online,"Aadhaar, Income Certificate",Housing for all
SCM6663,2,62.02,8.21,35.53,Offline,None,Education access
SCM6664,2,61.75,2.67,54.08,Both,"Caste Certificate, Income Certificate",Education access
,1,54.31,6.92,64.81,Online,None,Housing for all
SCM6666,3,95.49,6.93,61.29,Offline,"Ration Card, Aadhaar",Education access
SCM6667,4,92.45,6.75,62.24,Offline,"Aadhaar, Income Certificate",Skill development
,2,69.04,8.91,91.53,Both,"Ration Card, Aadhaar",Housing for all
SCM6669,2,88.47,7.53,65.37,Offline,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM6670,1,75.47,3.95,95.87,Offline,"Ration Card, Aadhaar",Employment generation
SCM6671,4,83.95,3.83,40.34,Offline,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6672,2,84.46,1.2,49.62,Online,None,Sanitation awareness
SCM6673,3,88.77,9.17,75.96,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM6674,3,94.96,1.93,49.82,Online,"Caste Certificate, Income Certificate",Startup support
SCM6675,3,89.45,5.31,54.31,Offline,None,Education access
SCM6676,1,85.33,5.58,,Both,"Aadhaar, Income Certificate",Housing for all
SCM6677,1,81.1,5.03,67.7,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6678,3,60.45,6.17,53.43,Offline,"Aadhaar, Income Certificate",Financial inclusion
SCM6679,4,64.16,7.56,84.37,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
,2,53.77,2.77,34.95,Online,"Ration Card, Aadhaar",Startup support
,2,62.89,1.66,69.46,Offline,"Aadhaar, Income Certificate",Health insurance coverage
SCM6682,2,77.2,8.72,36.98,Both,"Caste Certificate, Income Certificate",Skill development
SCM6683,3,97.68,5.45,42.38,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
,3,56.34,2.15,34.37,Online,"Aadhaar, PAN, Bank Passbook",Health insurance coverage
SCM6685,3,72.14,7.05,93.12,Both,None,Technology adoption
SCM6686,1,87.54,3.01,33.37,Online,None,Women empowerment
SCM6687,1,89.68,1.74,66.15,Both,None,Sanitation awareness
SCM6688,3,59.55,3.54,45.75,Online,None,Women empowerment
SCM6689,3,58.92,3.67,56.85,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
,4,80.54,8.82,64.56,Offline,None,Sanitation awareness
SCM6691,2,95.7,3.77,61.5,Offline,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM6692,1,90.22,8.02,82.37,Both,"Aadhaar, Income Certificate",Employment generation
SCM6693,2,69.22,6.2,93.83,Online,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM6694,3,82.92,1.85,51.02,Both,"Ration Card, Aadhaar",Technology adoption
SCM6695,3,62.74,2.41,31.72,Online,"Ration Card, Aadhaar",Health insurance coverage
SCM6696,4,73.59,1.72,92.58,Both,None,Startup support
SCM6697,4,76.77,4.61,98.51,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM6698,1,81.89,9.73,60.33,Both,"Ration Card, Aadhaar",Employment generation
SCM6699,1,70.02,2.63,61.91,Online,"Aadhaar, Income Certificate",Startup support
,2,51.6,4.08,40.09,Both,"Caste Certificate, Income Certificate",Sanitation awareness
SCM6701,2,96.4,8.38,63.29,Both,None,Sanitation awareness
SCM6702,1,97.81,8.88,51.23,Both,"Caste Certificate, Income Certificate",Sanitation awareness
SCM6703,3,84.35,7.62,99.61,Both,None,Women empowerment
SCM6704,1,63.32,5.2,42.94,Offline,"Aadhaar, Income Certificate",Health insurance coverage
SCM6705,2,79.74,6.84,56.5,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM6706,1,63.81,5.05,73.16,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6707,2,84.94,8.64,54.16,Offline,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM6708,2,68.01,4.69,63.21,Both,"Aadhaar, Income Certificate",Startup support
SCM6709,2,77.87,8.36,98.14,Both,None,Employment generation
SCM6710,4,52.95,6.27,65.56,Offline,None,Financial inclusion
SCM6711,3,99.81,5.69,93.72,Offline,None,Skill development
SCM6712,2,83.11,6.91,33.02,Online,"Ration Card, Aadhaar",Health insurance coverage
SCM6713,3,97,3.63,38.39,Offline,"Caste Certificate, Income Certificate",Skill development
SCM6714,3,87.23,4.53,96.12,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM6715,1,78.09,8.25,39.01,Offline,"Aadhaar, Income Certificate",Startup support
SCM6716,4,86.82,4.46,81.56,Offline,None,Startup support
SCM6717,4,73.46,6.88,61.22,Online,"Ration Card, Aadhaar",Health insurance coverage
SCM6718,3,97.96,6.97,58.47,Both,"Aadhaar, Income Certificate",Women empowerment
SCM6719,3,88.72,8.83,76.15,Both,None,Financial inclusion
SCM6720,1,56.05,4.99,80.93,Both,"Aadhaar, Income Certificate",Housing for all
SCM6721,1,97.53,9.12,95.24,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM6722,2,78.79,9.94,47.98,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
SCM6723,4,72.52,2.52,78.87,Offline,"Ration Card, Aadhaar",Health insurance coverage
SCM6724,4,89.61,7.44,53.96,Offline,None,Housing for all
SCM6725,3,61.43,7.29,80.23,Both,"Ration Card, Aadhaar",Startup support
SCM6726,2,97.91,5.11,39.95,Offline,"Aadhaar, PAN, Bank Passbook",Education access
SCM6727,3,58.32,3.73,62.03,Offline,"Ration Card, Aadhaar",Housing for all
SCM6728,3,64.78,1.25,42.85,Offline,"Ration Card, Aadhaar",Startup support
SCM6729,2,94.45,6.73,53.55,Both,"Aadhaar, Income Certificate",Women empowerment
SCM6730,4,80.42,3.84,80.09,Offline,"Ration Card, Aadhaar",Skill development
SCM6731,3,92.73,5.97,46.33,Offline,"Aadhaar, Income Certificate",Health insurance coverage
SCM6732,3,59.97,2.1,77.94,Online,None,Health insurance coverage
SCM6733,1,90.19,1.4,64.72,Online,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM6734,4,58.92,8.22,36.44,Online,"Ration Card, Aadhaar",Women empowerment
SCM6735,3,87.16,2.11,57.07,Offline,"Caste Certificate, Income Certificate",Sanitation awareness
